long,lat,unique_squirrel_id,hectare,shift,date,hectare_squirrel_number,age,primary_fur_color,highlight_fur_color,combination_of_primary_and_highlight_color,color_notes,location,above_ground_sighter_measurement,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from,other_interactions,lat_long,zip_codes,community_districts,borough_boundaries,city_council_districts,police_precincts
-73.9736997033862,40.778497952406,14A-PM-1014-02,14A,PM,10142018,2,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",NA,Ground Plane,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,POINT (-73.9736997033862 40.778497952406),NA,19,4,19,13
-73.9681042612938,40.772331431865,11I-PM-1012-04,11I,PM,10122018,4,Adult,Gray,NA,Gray+,NA,Above Ground,2,NA,TRUE,FALSE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,POINT (-73.9681042612938 40.772331431865),NA,19,4,19,13
-73.973351945818,40.768814796037,5G-PM-1010-03,05G,PM,10102018,3,Adult,Gray,NA,Gray+,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,POINT (-73.973351945818 40.768814796037),NA,19,4,19,13
-73.9721442939797,40.7700750802317,7G-PM-1018-03,07G,PM,10182018,3,Adult,Gray,NA,Gray+,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,POINT (-73.9721442939797 40.7700750802317),NA,19,4,19,13
-73.9718729101676,40.7703692621371,7G-PM-1018-05,07G,PM,10182018,5,Adult,Gray,NA,Gray+,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,POINT (-73.9718729101676 40.7703692621371),NA,19,4,19,13
-73.9737329655838,40.7726424441344,8D-PM-1007-02,08D,PM,10072018,2,Adult,Gray,Cinnamon,Gray+Cinnamon,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9737329655838 40.7726424441344),NA,19,4,19,13
-73.9698592838836,40.7743071443959,12F-AM-1020-03,12F,AM,10202018,3,Adult,Gray,Black,Gray+Black,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,playing,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,POINT (-73.9698592838836 40.7743071443959),NA,19,4,19,13
-73.9768357173861,40.7683813358343,3D-PM-1010-12,03D,PM,10102018,12,Adult,Cinnamon,White,Cinnamon+White,NA,Ground Plane,FALSE,NA,TRUE,TRUE,FALSE,FALSE,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,POINT (-73.9768357173861 40.7683813358343),NA,19,4,19,13
-73.9707937464541,40.7725282708448,10G-PM-1017-07,10G,PM,10172018,7,Adult,Black,White,Black+White,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,traveling,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9707937464541 40.7725282708448),NA,19,4,19,13
-73.9685227310735,40.776599466588,15F-AM-1007-02,15F,AM,10072018,2,Adult,Gray,Cinnamon,Gray+Cinnamon,"Listed as primary white with cinnamon highlights, I changed to Gray/cinnamon - JO",Above Ground,20,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,POINT (-73.9685227310735 40.776599466588),NA,19,4,19,13
-73.9699513151755,40.7722062991044,10G-PM-1017-05,10G,PM,10172018,5,Juvenile,Gray,NA,Gray+,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9699513151755 40.7722062991044),NA,19,4,19,13
-73.9734644470766,40.7782766486921,14A-PM-1014-05,14A,PM,10142018,5,Adult,Gray,White,Gray+White,NA,Ground Plane,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.97346444707661 40.7782766486921),NA,19,4,19,13
-73.9533476020736,40.7933003544685,37H-PM-1006-02,37H,PM,10062018,2,Adult,Gray,Cinnamon,Gray+Cinnamon,NA,Ground Plane,FALSE,tree,TRUE,FALSE,TRUE,FALSE,TRUE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,dogs,POINT (-73.9533476020736 40.7933003544685),NA,19,4,19,13
-73.9702420100291,40.7772720889907,14D-AM-1014-02,14D,AM,10142018,2,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9702420100291 40.7772720889907),NA,19,4,19,13
-73.9802079259866,40.7678723471007,1B-AM-1012-10,01B,AM,10122018,10,Juvenile,Gray,"Cinnamon, White","Gray+Cinnamon, White",NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,POINT (-73.9802079259866 40.7678723471007),NA,19,4,19,13
-73.972967003211,40.7711848438157,7F-AM-1008-17,07F,AM,10082018,17,Adult,Gray,NA,Gray+,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,scratching self,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,POINT (-73.972967003211 40.7711848438157),NA,19,4,19,13
-73.9584188461059,40.7913241048498,33E-PM-1012-07,33E,PM,10122018,7,Adult,Gray,White,Gray+White,NA,Ground Plane,FALSE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,POINT (-73.9584188461059 40.7913241048498),NA,19,4,19,13
-73.974519308015,40.7691228794395,5E-AM-1008-02,05E,AM,10082018,2,Adult,Gray,Cinnamon,Gray+Cinnamon,NA,Above Ground,8,trellis,TRUE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,POINT (-73.974519308015 40.7691228794395),NA,19,4,19,13
-73.9766779585686,40.7669673778105,2E-AM-1010-04,02E,AM,10102018,4,Juvenile,Gray,"Cinnamon, White","Gray+Cinnamon, White",NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9766779585686 40.7669673778105),NA,19,4,19,13
-73.9721448879766,40.7762112840981,13C-AM-1010-02,13C,AM,10102018,2,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",NA,Above Ground,7,NA,FALSE,FALSE,TRUE,FALSE,FALSE,burying,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9721448879766 40.7762112840981),NA,19,4,19,13
-73.9663124560664,40.779544003786,18F-PM-1008-02,18F,PM,10082018,2,Adult,Gray,NA,Gray+,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,hopping around,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,POINT (-73.9663124560664 40.779544003786),NA,19,4,19,13
-73.9636482556874,40.7775831570186,18I-PM-1007-05,18I,PM,10072018,5,Juvenile,Cinnamon,"Gray, Black","Cinnamon+Gray, Black",NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,jumping crazily / digging hole,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9636482556874 40.7775831570186),NA,19,4,19,13
